rooms	price	area	address	date	x	y	squaremeter price
1.0	580.0	42.96	Zermatter Str. 14, Reinickendorf (Reinickendorf), Berlin	2017	388203.9844910884	5825237.929330952	13.500931098696462
1.0	550.0	38.37	Gotthardstr. 3, Reinickendorf (Reinickendorf), Berlin	2017	388214.05126128474	5825411.295528892	14.334115194162107
2.0	700.0	50.5	Soorstr. 59, Charlottenburg (Charlottenburg), Berlin	2017	383165.9048333484	5819055.971782668	13.861386138613861
1.0	670.0	48.15	Karl-Kunger-Straße 17, Treptow (Treptow), Berlin	2017	394599.7490800577	5816736.975466661	13.914849428868122
2.0	720.0	51.94	Ringbahnstr. 56, Tempelhof (Tempelhof), Berlin	2017	390504.0902199017	5814393.729416465	13.862148633038121
2.0	650.0	43.96	Schillingstr. 16, Reinickendorf (Reinickendorf), Berlin	2017	386244.6765670036	5825605.838080328	14.78616924476797
2.0	945.0	63.49	Landsberger Allee 96, Friedrichshain (Friedrichshain), Berlin	2017	394946.0364652039	5820782.121834963	14.884233737596471
1.5	650.0	45.41	Schillingstr. 16, Reinickendorf (Reinickendorf), Berlin	2017	386244.6765670036	5825605.838080328	14.314027747192249
2.0	720.0	56.22	Schillingstr. 16, Reinickendorf (Reinickendorf), Berlin	2017	386244.6765670036	5825605.838080328	12.8068303094984
2.0	715.0	57.27	Wattstraße 9, Oberschöneweide (Köpenick), Berlin	2017	398770.96664749103	5813869.430283455	12.484721494674348
1.5	900.0	55.27	Kleine Innstraße 10, Neukölln (Neukölln), Berlin	2017	394386.0413474821	5815831.371544862	16.283698208793197
2.0	950.0	61.0	Allerstraße 30, Neukölln (Neukölln), Berlin	2017	392786.0934264291	5814981.669485928	15.573770491803279
1.5	800.0	40.13	Hallesches Ufer 28, Kreuzberg (Kreuzberg), Berlin	2017	390520.5160600247	5817751.086036089	19.9352105656616
2.0	950.0	49.98	Emser Straße 70, Neukölln (Neukölln), Berlin	2017	392790.1773789849	5814224.460592457	19.007603041216488
1.0	540.0	25.0	Treskowallee 115, Karlshorst (Lichtenberg), Berlin	2017	399852.43121311866	5815539.25940544	21.6
3.5	735.0	96.0	Kienhorststraße 156, Reinickendorf (Reinickendorf), Berlin	2017	385795.8097055533	5826302.91222378	7.65625
3.0	697.0	86.36	Streitstraße 21, Spandau (Spandau), Berlin	2017	378555.6009767183	5824812.726209725	8.070866141732283
2.0	814.92	67.91	Heilbronner Str. 21a, Schöneberg (Schöneberg), Berlin	2017	387357.5379652554	5817000.407869647	12.0
4.0	1250.0	120.15	Fuldastraße  1, Neukölln (Neukölln), Berlin	2017	393657.1598600023	5815830.364542456	10.403662089055347
3.0	1115.4	101.4	Fortunaallee 23-25, Biesdorf (Marzahn), Berlin	2017	402697.0067360578	5816626.348348402	11.0
3.0	1350.0	100.0	Rathenowerstraße 9, Tiergarten (Tiergarten), Berlin	2017	388490.64596202475	5820824.732330708	13.5
3.0	410.02	69.97	Rabensteiner Str. 33, Marzahn (Marzahn), Berlin	2017	403488.36152802827	5824929.042330816	5.859939974274689
5.0	1995.0	160.0	Reichsstraße 1, Charlottenburg (Charlottenburg), Berlin	2017	382680.9529280081	5819215.734266149	12.46875
2.0	1150.0	60.58	Karl-Marx-Straße 208, Neukölln (Neukölln), Berlin	2017	394070.54648933397	5814623.073138815	18.983162759986794
2.0	1856.0	116.0	Hagenplatz 7, Grunewald (Wilmersdorf), Berlin	2017	382294.6204660721	5816195.514801961	16.0
2.0	865.56	72.13	Neue Bahnhofstraße 26a, Friedrichshain (Friedrichshain), Berlin	2017	396178.7931204306	5818479.529300386	12.0
3.0	2224.0	139.0	Hagenplatz 7, Grunewald (Wilmersdorf), Berlin	2017	382294.6204660721	5816195.514801961	16.0
1.0	832.0	52.0	Hagenplatz 7, Grunewald (Wilmersdorf), Berlin	2017	382294.6204660721	5816195.514801961	16.0
4.0	2240.0	140.0	Hagenplatz 7, Grunewald (Wilmersdorf), Berlin	2017	382294.6204660721	5816195.514801961	16.0
2.0	649.0	64.5	Stephanstr. 47, Tiergarten (Tiergarten), Berlin	2017	387924.27162339096	5821670.032025299	10.062015503875969
2.0	582.0	58.03	Ebersstraße 75a, Schöneberg (Schöneberg), Berlin	2017	388126.94596640964	5815739.802256033	10.029295192141996
3.0	850.0	70.0	Göhrener Straße 14a, Prenzlauer Berg (Prenzlauer Berg), Berlin	2017	392953.8115226125	5822360.591201615	12.142857142857142
3.0	1790.0	119.0	Meyerheimstraße 1, Prenzlauer Berg (Prenzlauer Berg), Berlin	2017	393330.9474322532	5823092.614256432	15.042016806722689
2.0	695.0	60.0	Ravenestraße 6, Wedding (Wedding), Berlin	2017	389582.2167759823	5822651.804101752	11.583333333333334
1.0	630.0	37.51	Tassostr. 7, Weißensee (Weißensee), Berlin	2017	395140.9969655017	5823423.595131437	16.795521194348176
2.0	900.0	54.74	Tassostr. 6a, Weißensee (Weißensee), Berlin	2017	395146.8931430099	5823409.437124151	16.441359152356593
2.0	740.0	48.52	Dresselstraße 4, Charlottenburg (Charlottenburg), Berlin	2017	383611.1220665209	5818977.937593035	15.25144270403957
1.0	700.0	36.0	Okerstraße 41, Neukölln (Neukölln), Berlin	2017	393067.7927245947	5814922.754869193	19.444444444444443
1.0	527.0	38.34	Rudower Straße 3, Niederschöneweide (Treptow), Berlin	2017	399677.28756783454	5812414.018930795	13.74543557642149
2.0	950.0	76.07	Donaustraße 114, Neukölln (Neukölln), Berlin	2017	393652.8331756421	5815968.871594371	12.48849743657158
3.0	1705.99	120.14	Mittelstraße 53, Mitte (Mitte), Berlin	2017	390621.086584296	5819862.126771221	14.200016647244881
2.0	900.0	53.5	Anton-Saefkow-Straße 32, Prenzlauer Berg (Prenzlauer Berg), Berlin	2017	394152.7116464864	5821961.0104557285	16.822429906542055
3.0	1291.64	83.0	Heidestraße 13, Tiergarten (Tiergarten), Berlin	2017	389243.2668651252	5821304.951802312	15.561927710843374
2.0	821.94	59.0	Heidestraße 13, Tiergarten (Tiergarten), Berlin	2017	389243.2668651252	5821304.951802312	13.931186440677967
4.0	1336.81	101.0	Heidestraße 13, Tiergarten (Tiergarten), Berlin	2017	389243.2668651252	5821304.951802312	13.235742574257426
2.0	700.0	42.05	Tassostr. 6a, Weißensee (Weißensee), Berlin	2017	395146.8931430099	5823409.437124151	16.646848989298455
3.0	1600.0	110.0	Bötzowstr. XX, Prenzlauer Berg (Prenzlauer Berg), Berlin	2017	392973.7495394043	5822451.089343297	14.545454545454545
